transaction_id,product_id,transaction_quantity,price_per_unit
78248,32,1,3.0
78249,61,2,4.75
78250,52,2,2.5
78251,32,2,3.0
78252,57,1,3.1
78253,45,2,3.0
78253,10,1,10.0
78254,41,1,4.25
78254,84,2,0.8
78254,73,1,3.75
78255,43,1,3.0
78256,57,1,3.1
78256,6,1,21.0
78257,48,1,2.5
78258,53,2,3.0
78259,37,1,3.0
78259,65,1,0.8
78259,76,1,3.5
78260,71,1,3.75
78261,35,2,3.1
78262,45,2,3.0
78262,78,1,4.5
78263,43,2,3.0
78264,39,2,4.25
78264,64,1,0.8
78264,76,1,3.5
78265,46,1,2.5
78265,79,1,3.75
78266,59,2,4.5
78267,42,1,2.5
78268,52,1,2.5
78268,73,1,3.75
78269,59,1,4.5
78270,49,2,3.0
78270,70,1,3.25
78271,39,1,4.25
78271,63,2,0.8
78272,60,1,3.75
78273,52,1,2.5
78273,75,1,3.5
78274,28,2,2.0
78275,36,1,3.75
78275,77,1,3.0
78276,27,1,3.5
78277,28,2,2.0
78278,40,1,3.75
78278,84,1,0.8
78278,75,1,3.5
78279,87,1,2.1
78279,72,1,3.25
78280,61,1,4.75
78280,70,1,3.25
78281,53,1,3.0
78282,58,1,3.5
78283,25,2,2.2
78284,56,1,2.55
78285,54,2,2.5
78285,74,1,3.5
78286,50,2,2.5
78287,39,2,4.25
78288,56,2,2.55
78289,58,2,3.5
78290,34,2,2.45
78291,23,1,2.5
78292,41,2,4.25
78292,65,1,0.8
78293,47,2,3.0
78294,23,1,2.5
78295,24,1,3.0
78295,76,1,3.5
78296,28,2,2.0
78296,73,1,3.75
78297,57,2,3.1
78298,51,1,3.0
78299,55,2,4.0
78299,73,1,3.75
78300,23,2,2.5
78301,41,1,4.25
78301,64,1,0.8
78302,32,2,3.0
78302,73,1,3.75
78303,35,2,3.1
78303,73,1,3.75
78304,49,2,3.0
78304,1,1,18.0
78305,22,1,2.0
78306,44,1,2.5
78307,28,2,2.0
78308,49,2,3.0
78308,79,1,3.75
78309,41,2,4.25
78309,84,1,0.8
78310,27,1,3.5
78311,59,2,4.5
78312,32,1,3.0
78313,57,1,3.1
78314,45,2,3.0
78315,49,1,3.0
78316,48,2,2.5
78317,58,1,3.5
78317,71,1,3.75
78318,60,1,3.75
78318,79,1,3.75
78319,40,2,3.75
78319,84,2,0.8
78320,40,2,3.75
78320,84,2,0.8
78321,52,1,2.5
78322,42,1,2.5
78323,22,2,2.0
78323,71,1,3.75
78324,52,2,2.5
78325,26,1,3.0
78325,77,1,3.0
78326,61,1,4.75
78327,57,2,3.1
78328,30,1,3.0
78329,26,1,3.0
78330,31,1,2.2
78331,39,1,4.25
78331,78,1,4.5
78332,59,2,4.5
78333,32,1,3.0
78333,77,1,3.0
78334,47,2,3.0
78335,39,2,4.25
78335,64,1,0.8
78335,78,1,4.5
78336,43,2,3.0
78337,34,2,2.45
78338,59,1,4.5
78338,78,1,4.5
78339,29,1,2.5
78339,15,1,9.25
78340,25,1,2.2
78341,87,1,2.1
78341,72,1,3.25
78342,22,2,2.0
78342,79,1,3.75
78343,34,2,2.45
78344,29,1,2.5
78345,24,1,3.0
78345,11,1,8.95
78346,37,1,3.0
78346,63,2,0.8
78347,42,2,2.5
78348,57,2,3.1
78349,56,1,2.55
78350,58,2,3.5
78350,72,1,3.25
78350,83,1,14.0
78351,25,1,2.2
78352,50,2,2.5
78353,37,2,3.0
78353,84,1,0.8
78353,78,1,4.5
78353,76,1,3.5
78354,33,1,3.5
78354,69,1,3.25
78355,41,1,4.25
78355,65,2,0.8
78355,72,1,3.25
78356,47,2,3.0
78357,53,1,3.0
78358,44,2,2.5
78359,45,1,3.0
78359,79,1,3.75
78360,39,2,4.25
78360,63,2,0.8
78361,45,1,3.0
78362,38,1,3.75
78362,64,2,0.8
78363,28,2,2.0
78363,79,1,3.75
78364,42,2,2.5
78365,28,2,2.0
78366,22,1,2.0
78367,44,2,2.5
78368,43,1,3.0
78369,51,2,3.0
78370,22,1,2.0
78371,59,2,4.5
78372,45,1,3.0
78372,78,1,4.5
78373,55,2,4.0
78374,26,2,3.0
78375,49,1,3.0
78376,57,1,3.1
78377,26,2,3.0
78378,55,2,4.0
78379,49,2,3.0
78379,78,1,4.5
78380,45,1,3.0
78381,41,1,4.25
78381,3,1,14.75
78382,33,2,3.5
78383,57,2,3.1
78384,57,1,3.1
78385,51,1,3.0
78385,70,1,3.25
78386,22,1,2.0
78387,31,1,2.2
78388,39,2,4.25
78388,65,2,0.8
78389,45,1,3.0
78390,44,1,2.5
78391,31,2,2.2
78392,37,1,3.0
78392,69,1,3.25
78393,36,2,3.75
78394,50,2,2.5
78395,42,2,2.5
78396,56,2,2.55
78396,72,1,3.25
78396,10,1,10.0
78397,26,2,3.0
78397,70,1,3.25
78398,40,1,3.75
78398,63,1,0.8
78399,31,1,2.2
78400,41,2,4.25
78400,65,1,0.8
78401,27,2,3.5
78401,71,1,3.75
78402,55,2,4.0
78403,42,2,2.5
78404,24,1,3.0
78405,27,2,3.5
78406,48,1,2.5
78407,29,1,2.5
78408,39,1,4.25
78408,64,2,0.8
78409,41,2,4.25
78409,64,1,0.8
78409,83,1,14.0
78410,29,2,2.5
78411,50,1,2.5
78412,87,1,2.1
78412,72,1,3.25
78413,42,1,2.5
78414,59,1,4.5
78414,78,1,4.5
78415,48,2,2.5
78416,54,1,2.5
78417,40,2,3.75
78418,58,2,3.5
78419,36,2,3.75
78419,76,1,3.5
78420,87,2,3.0
78421,31,2,2.2
78422,58,1,3.5
78423,54,1,2.5
78424,44,2,2.5
78425,48,1,2.5
78425,71,1,3.75
78426,34,2,2.45
78427,50,1,2.5
78427,75,1,3.5
78428,29,1,2.5
78429,29,2,2.5
78430,38,2,3.75
78430,65,1,0.8
78431,47,2,3.0
78432,37,2,3.0
78432,84,2,0.8
78432,77,1,3.0
78433,56,1,2.55
78433,70,1,3.25
78434,34,1,2.45
78435,44,2,2.5
78435,71,1,3.75
78436,37,1,3.0
78436,63,2,0.8
78436,10,1,10.0
78437,87,2,3.0
78438,22,2,2.0
78439,38,2,3.75
78439,65,2,0.8
78440,36,1,3.75
78441,23,2,2.5
78442,37,1,3.0
78442,64,1,0.8
78442,69,1,3.25
78443,52,1,2.5
78444,44,2,2.5
78444,73,1,3.75
78445,57,2,3.1
78445,76,1,3.5
78446,45,2,3.0
78446,76,1,3.5
78447,34,2,2.45
78447,76,1,3.5
78448,46,2,2.5
78449,49,2,3.0
78450,37,2,3.0
78450,63,1,0.8
78450,76,1,3.5
78451,54,1,2.5
78451,73,1,3.75
78452,60,2,3.75
78453,56,2,2.55
78454,24,2,3.0
78454,79,1,3.75
78454,10,1,10.0
78455,61,1,4.75
78456,29,1,2.5
78457,55,2,4.0
78458,26,2,3.0
78459,51,1,3.0
78459,3,1,14.75
78460,61,2,4.75
78461,55,3,4.0
78462,29,1,2.5
78463,27,2,3.5
78464,35,1,3.1
78465,54,1,2.5
78466,42,1,2.5
78467,51,2,3.0
78468,24,1,3.0
78469,44,1,2.5
78470,24,2,3.0
78470,77,1,3.0
78471,40,2,3.75
78471,63,2,0.8
78472,38,1,3.75
78472,63,1,0.8
78473,44,1,2.5
78473,74,1,3.5
78474,37,1,3.0
78474,84,1,0.8
78474,70,1,3.25
78475,27,2,3.5
78476,32,2,3.0
78476,76,1,3.5
78477,27,2,3.5
78478,22,2,2.0
78479,27,2,3.5
78479,5,1,15.0
78480,40,1,3.75
78480,65,1,0.8
78481,38,2,3.75
78481,64,1,0.8
78481,71,1,3.75
78482,22,2,2.0
78482,15,1,9.25
78483,54,2,2.5
78484,55,2,4.0
78484,72,1,3.25
78485,39,2,4.25
78485,84,1,0.8
78485,75,1,3.5
78486,31,2,2.2
78486,72,1,3.25
78487,39,2,4.25
78487,64,2,0.8
78488,43,2,3.0
78489,40,2,3.75
78489,63,2,0.8
78489,20,1,7.6
78490,60,2,3.75
78490,78,1,4.5
78491,26,1,3.0
78492,41,2,4.25
78492,84,1,0.8
78492,71,1,3.75
78493,51,2,3.0
78494,54,1,2.5
78495,40,1,3.75
78495,64,2,0.8
78496,40,2,3.75
78497,24,1,3.0
78497,75,1,3.5
78498,48,2,2.5
78499,60,2,3.75
78500,28,1,2.0
78501,35,1,3.1
78501,74,1,3.5
78502,46,2,2.5
78502,75,1,3.5
78503,39,2,4.25
78503,63,1,0.8
78504,42,2,2.5
78505,28,1,2.0
78506,39,2,4.25
78506,65,1,0.8
78507,47,2,3.0
78508,47,1,3.0
78509,59,2,4.5
78510,47,2,3.0
78511,39,1,4.25
78511,84,2,0.8
78512,44,2,2.5
78513,45,1,3.0
78514,50,1,2.5
78515,43,2,3.0
78516,35,1,3.1
78517,87,2,3.0
78518,33,1,3.5
78518,8,1,45.0
78519,42,1,2.5
78520,50,1,2.5
78520,75,1,3.5
78521,49,1,3.0
78522,51,1,3.0
78522,78,1,4.5
78523,22,2,2.0
78524,47,1,3.0
78525,28,1,2.0
78526,56,2,2.55
78527,52,2,2.5
78528,27,2,3.5
78529,52,2,2.5
78530,30,2,3.0
78530,18,1,10.95
78531,57,1,3.1
78532,36,1,3.75
78533,27,2,3.5
78534,60,2,3.75
78535,30,2,3.0
78536,58,2,3.5
78536,8,1,45.0
78537,60,2,3.75
78538,31,2,2.2
78539,42,1,2.5
78540,31,2,2.2
78540,79,1,3.75
78541,44,2,2.5
78542,24,1,3.0
78543,55,1,4.0
78543,75,1,3.5
78544,36,1,3.75
78544,81,1,28.0
78545,36,1,3.75
78546,58,1,3.5
78547,39,2,4.25
78547,64,1,0.8
78547,76,1,3.5
78548,60,2,3.75
78548,72,1,3.25
78549,56,2,2.55
78549,78,1,4.5
78550,53,1,3.0
78551,51,2,3.0
78552,44,1,2.5
78552,76,1,3.5
78553,52,1,2.5
78553,75,1,3.5
78554,25,2,2.2
78554,76,1,3.5
78555,54,2,2.5
78556,24,2,3.0
78556,73,1,3.75
78557,53,2,3.0
78558,33,1,3.5
78558,74,1,3.5
78559,48,2,2.5
78560,36,1,3.75
78561,51,2,3.0
78561,79,1,3.75
78562,36,2,3.75
78562,75,1,3.5
78563,23,2,2.5
78564,30,2,3.0
78565,37,1,3.0
78565,65,2,0.8
78566,49,1,3.0
78567,52,1,2.5
78568,35,1,3.1
78569,31,2,2.2
78570,33,1,3.5
78570,72,1,3.25
78571,28,2,2.0
78571,71,1,3.75
78572,39,1,4.25
78573,50,1,2.5
78574,29,1,2.5
78575,56,1,2.55
78576,28,1,2.0
78577,61,1,4.75
78578,43,2,3.0
78579,29,2,2.5
78580,47,1,3.0
78581,31,2,2.2
78581,72,1,3.25
78582,59,2,4.5
78583,23,1,2.5
78584,51,2,3.0
78584,79,1,3.75
78585,38,2,3.75
78585,64,1,0.8
78585,8,1,45.0
78586,29,2,2.5
78587,38,1,3.75
78587,84,1,0.8
78588,33,2,3.5
78589,43,2,3.0
78590,26,2,3.0
78590,75,1,3.5
78591,87,1,2.1
78591,72,1,3.25
78592,60,2,3.75
78593,51,1,3.0
78594,27,2,3.5
78595,41,1,4.25
78595,84,1,0.8
78596,24,2,3.0
78597,24,2,3.0
78598,49,2,3.0
78599,39,1,4.25
78600,33,1,3.5
78601,25,2,2.2
78602,33,1,3.5
78603,53,1,3.0
78604,51,2,3.0
78605,41,1,4.25
78606,43,2,3.0
78607,56,2,2.55
78608,56,1,2.55
78609,41,2,4.25
78609,84,1,0.8
78610,35,2,3.1
78610,77,1,3.0
78611,57,1,3.1
78612,49,2,3.0
78613,51,1,3.0
78614,87,1,3.0
78615,33,1,3.5
78615,69,1,3.25
78616,26,1,3.0
78617,42,1,2.5
78618,49,1,3.0
78619,56,2,2.55
78620,27,2,3.5
78621,47,1,3.0
78622,47,1,3.0
78623,32,2,3.0
78624,32,2,3.0
78624,15,1,9.25
78625,47,2,3.0
78626,24,1,3.0
78627,60,2,3.75
78628,58,1,3.5
78629,60,2,3.75
78630,41,2,4.25
78630,64,1,0.8
78630,73,1,3.75
78631,61,2,4.75
78632,41,1,4.25
78632,65,1,0.8
78633,22,2,2.0
78634,30,1,3.0
78635,56,2,2.55
78636,34,1,2.45
78637,47,1,3.0
78638,22,1,2.0
78639,29,1,2.5
78639,73,1,3.75
78640,36,1,3.75
78641,27,2,3.5
78642,46,2,2.5
78643,57,1,3.1
78644,45,1,3.0
78645,51,1,3.0
78646,57,2,3.1
78647,35,2,3.1
78648,49,1,3.0
78649,52,2,2.5
78649,76,1,3.5
78650,28,2,2.0
78651,32,2,3.0
78652,40,1,3.75
78652,65,2,0.8
78653,22,1,2.0
78654,32,2,3.0
78655,42,2,2.5
78656,32,1,3.0
78657,58,1,3.5
78657,82,1,12.0
78658,22,2,2.0
78658,73,1,3.75
78659,41,2,4.25
78659,84,1,0.8
78660,60,2,3.75
78661,27,2,3.5
78662,59,1,4.5
78663,52,2,2.5
78664,58,1,3.5
78665,47,1,3.0
78666,26,2,3.0
78667,41,2,4.25
78667,63,2,0.8
78668,31,1,2.2
78669,31,1,2.2
78670,29,2,2.5
78671,29,1,2.5
78672,34,1,2.45
78672,79,1,3.75
78673,51,2,3.0
78674,57,1,3.1
78675,49,1,3.0
78676,32,2,3.0
78676,72,1,3.25
78677,27,2,3.5
78678,54,1,2.5
78679,87,1,3.0
78680,53,2,3.0
78681,55,1,4.0
78682,87,1,2.1
78682,72,1,3.25
78683,40,2,3.75
78683,64,2,0.8
78684,40,1,3.75
78684,17,1,9.5
78685,43,2,3.0
78686,46,1,2.5
78687,61,1,4.75
78688,30,1,3.0
78689,39,1,4.25
78689,63,2,0.8
78689,78,1,4.5
78690,44,1,2.5
78691,60,2,3.75
78691,75,1,3.5
78692,41,2,4.25
78693,48,1,2.5
78694,44,1,2.5
78695,40,1,3.75
78695,63,2,0.8
78696,60,2,3.75
78697,56,1,2.55
78698,37,1,3.0
78699,37,1,3.0
78700,44,1,2.5
78701,46,1,2.5
78702,23,1,2.5
78703,24,2,3.0
78704,87,1,2.1
78704,72,1,3.25
78705,33,2,3.5
78705,76,1,3.5
78706,53,1,3.0
78707,51,2,3.0
78708,58,2,3.5
78709,49,1,3.0
78710,36,1,3.75
78711,48,1,2.5
78712,24,1,3.0
78713,61,2,4.75
78714,29,1,2.5
78715,34,1,2.45
78716,28,1,2.0
78717,60,1,3.75
78718,22,2,2.0
78719,87,2,3.0
78720,28,2,2.0
78720,79,1,3.75
78721,37,1,3.0
78721,64,1,0.8
78722,38,1,3.75
78722,84,1,0.8
78723,22,1,2.0
78724,33,1,3.5
78725,28,2,2.0
78725,69,1,3.25
78725,81,1,28.0
78726,31,1,2.2
78727,87,1,3.0
78728,32,2,3.0
78729,52,2,2.5
78729,78,1,4.5
78730,29,1,2.5
78730,17,1,9.5
78731,48,1,2.5
78732,60,2,3.75
78733,32,1,3.0
78733,4,1,20.45
78734,46,1,2.5
78735,28,1,2.0
78735,83,1,14.0
78736,56,1,2.55
78736,76,1,3.5
78737,33,2,3.5
78737,71,1,3.75
78738,51,2,3.0
78739,56,1,2.55
78740,61,2,4.75
78741,22,1,2.0
78742,29,2,2.5
78743,26,2,3.0
78744,50,2,2.5
78745,54,2,2.5
78746,35,2,3.1
78747,30,1,3.0
78748,57,1,3.1
78749,50,2,2.5
78750,57,1,3.1
78751,45,1,3.0
78752,45,2,3.0
78753,38,2,3.75
78754,57,2,3.1
78755,55,1,4.0
78756,43,2,3.0
78757,30,2,3.0
78758,49,1,3.0
78758,76,1,3.5
78759,50,1,2.5
78760,49,1,3.0
78761,25,2,2.2
78762,24,2,3.0
78763,36,1,3.75
78764,25,2,2.2
78765,45,1,3.0
78766,34,2,2.45
78767,25,2,2.2
78768,29,1,2.5
78769,49,1,3.0
78770,30,2,3.0
78770,82,1,12.0
78771,52,1,2.5
78772,41,2,4.25
78772,63,1,0.8
78773,28,2,2.0
78774,50,1,2.5
78775,36,1,3.75
78776,33,1,3.5
78776,6,1,21.0
78777,57,2,3.1
78778,59,2,4.5
78779,45,2,3.0
78780,54,2,2.5
78781,47,2,3.0
78782,47,1,3.0
78783,26,1,3.0
78784,28,1,2.0
78785,34,1,2.45
78786,40,1,3.75
78786,65,2,0.8
78787,32,1,3.0
78788,43,2,3.0
78789,27,1,3.5
78790,48,2,2.5
78791,31,1,2.2
78792,23,1,2.5
78793,27,1,3.5
78794,33,2,3.5
78795,54,2,2.5
78796,37,1,3.0
78796,84,2,0.8
78797,26,1,3.0
78798,51,1,3.0
78799,55,1,4.0
78800,42,1,2.5
78801,29,1,2.5
78802,42,1,2.5
78803,56,2,2.55
78804,46,2,2.5
78805,57,2,3.1
78805,76,1,3.5
78806,52,1,2.5
78807,36,2,3.75
78808,42,2,2.5
78808,71,1,3.75
78809,87,2,3.0
78809,9,1,22.5
78810,42,1,2.5
78811,61,1,4.75
78812,24,2,3.0
78813,48,2,2.5
78814,33,1,3.5
78815,24,1,3.0
78816,45,2,3.0
78817,31,1,2.2
78818,41,1,4.25
78818,63,2,0.8
78819,34,1,2.45
78819,16,1,8.95
78820,35,2,3.1
78821,28,2,2.0
78822,23,2,2.5
78823,30,2,3.0
78823,77,1,3.0
78823,10,1,10.0
78824,61,1,4.75
78825,32,2,3.0
78826,43,2,3.0
78826,77,1,3.0
78827,60,1,3.75
78827,83,1,14.0
78828,56,2,2.55
78829,35,1,3.1
78830,50,1,2.5
78830,69,1,3.25
78831,57,1,3.1
78832,57,1,3.1
78833,22,2,2.0
78834,42,1,2.5
78835,55,1,4.0
78836,46,2,2.5
78836,81,1,28.0
78837,25,1,2.2
78838,47,1,3.0
78839,39,1,4.25
78839,63,2,0.8
78840,58,2,3.5
78840,75,1,3.5
78841,87,1,3.0
78842,43,1,3.0
78843,32,2,3.0
78844,52,2,2.5
78845,58,2,3.5
78846,29,1,2.5
78847,47,1,3.0
78848,23,2,2.5
78849,52,1,2.5
78850,59,2,4.5
78850,75,1,3.5
78851,61,2,4.75
78852,39,2,4.25
78852,65,2,0.8
78853,48,1,2.5
78853,72,1,3.25
78854,56,2,2.55
78855,39,1,4.25
78855,84,1,0.8
78856,51,1,3.0
78857,24,1,3.0
78858,42,2,2.5
78859,47,1,3.0
78860,22,2,2.0
78860,74,1,3.5
78861,22,1,2.0
78862,28,2,2.0
78863,23,1,2.5
78864,22,1,2.0
78865,32,1,3.0
78866,56,1,2.55
78867,55,2,4.0
78867,73,1,3.75
78868,60,1,3.75
78868,4,1,20.45
78869,54,1,2.5
78870,43,1,3.0
78871,47,2,3.0
78872,61,1,4.75
78873,23,1,2.5
78874,31,2,2.2
78874,69,1,3.25
78875,37,2,3.0
78875,73,1,3.75
78876,38,1,3.75
78876,65,2,0.8
78877,27,1,3.5
78878,57,2,3.1
78879,54,2,2.5
78880,37,1,3.0
78880,84,1,0.8
78881,43,1,3.0
78881,4,1,20.45
78882,31,2,2.2
78883,59,1,4.5
78884,32,2,3.0
78885,37,2,3.0
78886,56,1,2.55
78887,44,2,2.5
78888,39,1,4.25
78888,76,1,3.5
78889,57,1,3.1
78890,35,2,3.1
78891,42,1,2.5
78892,44,2,2.5
78893,33,1,3.5
78894,51,1,3.0
78895,44,2,2.5
78895,4,1,20.45
78896,33,2,3.5
78897,61,1,4.75
78898,54,1,2.5
78899,39,1,4.25
78900,61,2,4.75
78901,23,1,2.5
78902,41,1,4.25
78903,31,3,2.2
78904,35,3,3.1
78904,69,1,3.25
78905,28,2,2.0
78906,22,2,2.0
78907,71,1,3.75
78907,71,1,3.75
78908,52,1,2.5
78908,69,1,3.25
78909,45,3,3.0
78909,73,1,3.75
78910,42,3,2.5
78911,53,2,3.0
78912,55,1,4.0
78912,70,1,3.25
78913,30,3,3.0
78914,61,2,4.75
78915,53,1,3.0
78915,74,1,3.5
78916,87,1,3.0
78917,29,1,2.5
78918,53,2,3.0
78918,72,1,3.25
78919,34,3,2.45
78919,79,1,3.75
78920,36,2,3.75
78921,56,1,2.55
78921,75,1,3.5
78922,35,3,3.1
78923,44,1,2.5
78924,61,1,4.75
78925,52,1,2.5
78926,31,1,2.2
78927,34,1,2.45
78928,52,1,2.5
78929,38,1,3.75
78929,65,2,0.8
78930,22,1,2.0
78930,75,1,3.5
78931,37,2,3.0
78931,65,2,0.8
78931,72,1,3.25
78932,87,1,2.1
78932,72,1,2.65
78932,69,1,3.25
78933,25,3,2.2
78934,36,1,3.75
78935,51,1,3.0
78935,74,1,3.5
78936,58,2,3.5
78937,36,2,3.75
78938,51,3,3.0
78939,40,1,3.75
78939,64,2,0.8
78939,76,1,3.5
78940,26,2,3.0
78940,69,1,3.25
78941,52,1,2.5
78941,76,1,3.5
78942,40,2,3.75
78942,63,2,0.8
78942,76,1,3.5
78942,77,1,3.0
78943,36,1,3.75
78943,74,1,3.5
78944,52,3,2.5
78944,77,1,3.0
78945,54,3,2.5
78946,30,1,3.0
78947,47,2,3.0
78948,60,3,3.75
78949,29,1,2.5
78949,77,1,3.0
78950,35,1,3.1
78950,71,1,3.75
78950,8,1,45.0
78951,24,1,3.0
78951,14,1,8.95
78952,24,1,3.0
78952,72,1,3.25
78952,16,1,8.95
78953,28,1,2.0
78953,78,1,4.5
78954,44,2,2.5
78955,50,1,2.5
78956,48,1,2.5
78957,45,1,3.0
78958,41,3,4.25
78958,63,2,0.8
78958,70,1,3.25
78959,41,3,4.25
78959,65,1,0.8
78959,78,1,4.5
78960,56,1,2.55
78960,69,1,3.25
78960,3,1,14.75
78961,44,1,2.5
78962,37,3,3.0
78962,84,2,0.8
78963,47,2,3.0
78963,79,1,3.75
78964,61,1,4.75
78965,71,1,3.75
78966,38,1,3.75
78966,65,1,0.8
78967,41,3,4.25
78967,65,2,0.8
78968,55,1,4.0
78969,55,1,4.0
78970,55,1,4.0
78971,61,2,4.75
78972,52,1,2.5
78973,41,1,4.25
78973,65,2,0.8
78973,75,1,3.5
78973,20,1,7.6
78974,23,1,2.5
78975,28,1,2.0
78976,61,1,4.75
78977,22,3,2.0
78978,24,1,3.0
78979,35,1,3.1
78980,37,2,3.0
78980,63,2,0.8
78981,38,2,3.75
78981,64,2,0.8
78982,52,2,2.5
78983,41,2,4.25
78983,63,1,0.8
78983,73,1,3.75
78984,87,2,3.0
78985,41,1,4.25
78985,65,1,0.8
78986,27,1,3.5
78987,49,1,3.0
78988,44,1,2.5
78989,59,2,4.5
78990,29,1,2.5
78991,25,1,2.2
78992,28,2,2.0
78993,25,1,2.2
78993,78,1,4.5
78994,22,2,2.0
78995,50,1,2.5
78996,51,2,3.0
78997,61,1,4.75
78998,57,1,3.1
78999,61,1,4.75
78999,71,1,3.75
79000,38,1,3.75
79000,65,2,0.8
79001,33,1,3.5
79002,43,1,3.0
79003,29,1,2.5
79004,59,1,4.5
79004,1,1,18.0
79005,59,1,4.5
79006,26,1,3.0
79007,30,2,3.0
79008,45,2,3.0
79008,78,1,4.5
79009,27,1,3.5
79010,29,2,2.5
79011,45,2,3.0
79011,81,1,28.0
79012,33,1,3.5
79013,30,2,3.0
79014,50,2,2.5
79015,38,1,3.75
79015,65,2,0.8
79016,46,1,2.5
79017,60,2,3.75
79018,44,2,2.5
79019,45,1,3.0
79019,1,1,18.0
79020,61,1,4.75
79021,52,2,2.5
79022,39,1,4.25
79022,64,1,0.8
79023,26,1,3.0
79024,23,1,2.5
79025,32,2,3.0
79026,38,1,3.75
79026,64,1,0.8
79027,60,2,3.75
79027,6,1,21.0
79028,55,2,4.0
79029,52,1,2.5
79030,56,1,2.55
79030,69,1,3.25
79031,44,2,2.5
79031,79,1,3.75
79032,22,2,2.0
79033,24,1,3.0
79033,79,1,3.75
79034,54,1,2.5
79035,35,1,3.1
79035,11,1,8.95
79036,51,2,3.0
79037,35,1,3.1
79038,44,2,2.5
79039,34,3,2.45
79040,59,1,4.5
79041,25,1,2.2
79042,42,1,2.5
79043,27,1,3.5
79043,74,1,3.5
79044,34,1,2.45
79045,24,1,3.0
79046,38,3,3.75
79046,84,2,0.8
79046,73,1,3.75
79047,50,1,2.5
79047,71,1,3.75
79047,2,1,18.0
79048,28,1,2.0
79049,31,1,2.2
79050,60,1,3.75
79051,56,1,2.55
79051,74,1,3.5
79052,87,3,3.0
79053,57,2,3.1
79053,77,1,3.0
79054,43,1,3.0
79055,49,1,3.0
79056,71,1,3.75
79057,26,1,3.0
79058,22,2,2.0
79058,79,1,3.75
79059,51,1,3.0
79060,45,1,3.0
79061,55,2,4.0
79062,33,1,3.5
79063,27,2,3.5
79064,23,2,2.5
79064,73,1,3.75
79065,48,1,2.5
79066,87,2,3.0
79067,87,3,3.0
79068,55,1,4.0
79069,22,1,2.0
79070,42,1,2.5
79070,75,1,3.5
